-- SG    KRG    KROG   PCOG
SGOF
0.00000000 0.00000000 1.00000000 0.01499902
0.10000000 0.00000000 0.72750865 0.01758463
0.10918367 0.00010412 0.70465242 0.01786749
0.11836735 0.00041649 0.68216098 0.01815960
0.12755102 0.00093711 0.66003433 0.01846142
0.13673469 0.00166597 0.63827248 0.01877344
0.14591837 0.00260308 0.61687541 0.01909618
0.15510204 0.00374844 0.59584314 0.01943022
0.16428571 0.00510204 0.57517566 0.01977615
0.17346939 0.00666389 0.55487297 0.02013462
0.18265306 0.00843399 0.53493507 0.02050632
0.19183673 0.01041233 0.51536197 0.02089200
0.20102041 0.01259892 0.49615365 0.02129247
0.21020408 0.01499375 0.47731013 0.02170859
0.21938776 0.01759683 0.45883140 0.02214129
0.22857143 0.02040816 0.44071746 0.02259159
0.23775510 0.02342774 0.42296832 0.02306059
0.24693878 0.02665556 0.40558396 0.02354946
0.25612245 0.03009163 0.38856440 0.02405951
0.26530612 0.03373594 0.37190963 0.02459214
0.27448980 0.03758850 0.35561965 0.02514888
0.28367347 0.04164931 0.33969446 0.02573141
0.29285714 0.04591837 0.32413407 0.02634156
0.30204082 0.05039567 0.30893846 0.02698134
0.31122449 0.05508122 0.29410765 0.02765297
0.32040816 0.05997501 0.27964163 0.02835887
0.32959184 0.06507705 0.26554040 0.02910176
0.33877551 0.07038734 0.25180396 0.02988460
0.34795918 0.07590587 0.23843232 0.03071071
0.35714286 0.08163265 0.22542546 0.03158378
0.36632653 0.08756768 0.21278340 0.03250792
0.37551020 0.09371095 0.20050613 0.03348776
0.38469388 0.10006247 0.18859365 0.03452848
0.39387755 0.10662224 0.17704597 0.03563593
0.40306122 0.11339025 0.16586307 0.03681676
0.41224490 0.12036651 0.15504497 0.03807848
0.42142857 0.12755102 0.14459166 0.03942971
0.43061224 0.13494377 0.13450314 0.04088033
0.43979592 0.14254477 0.12477941 0.04244169
0.44897959 0.15035402 0.11542048 0.04412699
0.45816327 0.15837151 0.10642633 0.04595158
0.46734694 0.16659725 0.09779698 0.04793346
0.47653061 0.17503124 0.08953242 0.05009387
0.48571429 0.18367347 0.08163265 0.05245805
0.49489796 0.19252395 0.07409768 0.05505624
0.50408163 0.20158267 0.06692749 0.05792494
0.51326531 0.21084965 0.06012210 0.06110868
0.52244898 0.22032486 0.05368150 0.06466230
0.53163265 0.23000833 0.04760569 0.06865414
0.54081633 0.23990004 0.04189467 0.07317045
0.55000000 0.25000000 0.03654844 0.07832165
0.55918367 0.26030820 0.03156701 0.08425144
0.56836735 0.27082466 0.02695037 0.09115031
0.57755102 0.28154935 0.02269852 0.09927621
0.58673469 0.29248230 0.01881146 0.10898715
0.59591837 0.30362349 0.01528919 0.12079480
0.60510204 0.31497293 0.01213171 0.13545614
0.61428571 0.32653061 0.00933903 0.15413940
0.62346939 0.33829654 0.00691114 0.17874359
0.63265306 0.35027072 0.00484804 0.21256552
0.64183673 0.36245314 0.00314973 0.26183609
0.65102041 0.37484382 0.00181621 0.33972196
0.66020408 0.38744273 0.00084749 0.47818132
0.66938776 0.40024990 0.00024355 0.75545184
0.67857143 0.41326531 0.00000441 0.95000000
0.68775510 0.42648896 0.00000000 0.95000000
0.69693878 0.43992087 0.00000000 0.95000000
0.70612245 0.45356102 0.00000000 0.95000000
0.71530612 0.46740941 0.00000000 0.95000000
0.72448980 0.48146606 0.00000000 0.95000000
0.73367347 0.49573095 0.00000000 0.95000000
0.74285714 0.51020408 0.00000000 0.95000000
0.75204082 0.52488546 0.00000000 0.95000000
0.76122449 0.53977509 0.00000000 0.95000000
0.77040816 0.55487297 0.00000000 0.95000000
0.77959184 0.57017909 0.00000000 0.95000000
0.78877551 0.58569346 0.00000000 0.95000000
0.79795918 0.60141608 0.00000000 0.95000000
0.80714286 0.61734694 0.00000000 0.95000000
0.81632653 0.63348605 0.00000000 0.95000000
0.82551020 0.64983340 0.00000000 0.95000000
0.83469388 0.66638900 0.00000000 0.95000000
0.84387755 0.68315285 0.00000000 0.95000000
0.85306122 0.70012495 0.00000000 0.95000000
0.86224490 0.71730529 0.00000000 0.95000000
0.87142857 0.73469388 0.00000000 0.95000000
0.88061224 0.75229071 0.00000000 0.95000000
0.88979592 0.77009579 0.00000000 0.95000000
0.89897959 0.78810912 0.00000000 0.95000000
0.90816327 0.80633070 0.00000000 0.95000000
0.91734694 0.82476052 0.00000000 0.95000000
0.92653061 0.84339858 0.00000000 0.95000000
0.93571429 0.86224490 0.00000000 0.95000000
0.94489796 0.88129946 0.00000000 0.95000000
0.95408163 0.90056227 0.00000000 0.95000000
0.96326531 0.92003332 0.00000000 0.95000000
0.97244898 0.93971262 0.00000000 0.95000000
0.98163265 0.95960017 0.00000000 0.95000000
0.99081633 0.97969596 0.00000000 0.95000000
