-- PRES  RV    FVF      VISC
PVTG
1.01325      1.77204e-05  1.00962      0.0146748   
             0            1.00962      0.0146748    /
1.04359      1.72027e-05  0.979832     0.014675    
             0            0.979832     0.014675     /
1.07393      1.67147e-05  0.951745     0.0146753   
             0            0.951745     0.0146753    /
1.10428      1.62538e-05  0.925216     0.0146756   
             0            0.925216     0.0146756    /
1.13462      1.58179e-05  0.900117     0.0146758   
             0            0.900117     0.0146758    /
1.16496      1.54049e-05  0.876337     0.0146761   
             0            0.876337     0.0146761    /
1.1953       1.50132e-05  0.853774     0.0146764   
             0            0.853774     0.0146764    /
1.22564      1.46411e-05  0.832336     0.0146766   
             0            0.832336     0.0146766    /
1.25598      1.42872e-05  0.811943     0.0146769   
             0            0.811943     0.0146769    /
1.28633      1.39501e-05  0.792519     0.0146772   
             0            0.792519     0.0146772    /
1.31667      1.36288e-05  0.773996     0.0146775   
             0            0.773996     0.0146775    /
1.34701      1.3322e-05   0.756314     0.0146777   
             0            0.756314     0.0146777    /
1.37735      1.3029e-05   0.739417     0.014678    
             0            0.739417     0.014678     /
1.40769      1.27487e-05  0.723253     0.0146783   
             0            0.723253     0.0146783    /
1.43804      1.24803e-05  0.707775     0.0146785   
             0            0.707775     0.0146785    /
1.46838      1.22231e-05  0.692942     0.0146788   
             0            0.692942     0.0146788    /
1.49872      1.19765e-05  0.678712     0.0146791   
             0            0.678712     0.0146791    /
1.52906      1.17397e-05  0.665052     0.0146793   
             0            0.665052     0.0146793    /
1.5594       1.15122e-05  0.651926     0.0146796   
             0            0.651926     0.0146796    /
1.58974      1.12935e-05  0.639304     0.0146799   
             0            0.639304     0.0146799    /
1.62009      1.1083e-05   0.627157     0.0146802   
             0            0.627157     0.0146802    /
1.65043      1.08804e-05  0.61546      0.0146804   
             0            0.61546      0.0146804    /
1.68077      1.06851e-05  0.604188     0.0146807   
             0            0.604188     0.0146807    /
1.71111      1.04968e-05  0.593317     0.014681    
             0            0.593317     0.014681     /
1.74145      1.03152e-05  0.582828     0.0146813   
             0            0.582828     0.0146813    /
1.7718       1.01398e-05  0.572699     0.0146815   
             0            0.572699     0.0146815    /
1.80214      9.97032e-06  0.562914     0.0146818   
             0            0.562914     0.0146818    /
1.83248      9.80652e-06  0.553454     0.0146821   
             0            0.553454     0.0146821    /
1.86282      9.64811e-06  0.544304     0.0146824   
             0            0.544304     0.0146824    /
1.89316      9.49481e-06  0.535449     0.0146826   
             0            0.535449     0.0146826    /
1.92351      9.34638e-06  0.526874     0.0146829   
             0            0.526874     0.0146829    /
1.95385      9.2026e-06   0.518568     0.0146832   
             0            0.518568     0.0146832    /
1.98419      9.06325e-06  0.510516     0.0146835   
             0            0.510516     0.0146835    /
2.01453      8.92812e-06  0.502708     0.0146838   
             0            0.502708     0.0146838    /
2.04487      8.79703e-06  0.495133     0.014684    
             0            0.495133     0.014684     /
2.07521      8.66981e-06  0.48778      0.0146843   
             0            0.48778      0.0146843    /
2.10556      8.54627e-06  0.48064      0.0146846   
             0            0.48064      0.0146846    /
2.1359       8.42627e-06  0.473704     0.0146849   
             0            0.473704     0.0146849    /
2.16624      8.30965e-06  0.466963     0.0146852   
             0            0.466963     0.0146852    /
2.19658      8.19628e-06  0.46041      0.0146854   
             0            0.46041      0.0146854    /
2.22692      8.08601e-06  0.454035     0.0146857   
             0            0.454035     0.0146857    /
2.25727      7.97873e-06  0.447833     0.014686    
             0            0.447833     0.014686     /
2.28761      7.87432e-06  0.441795     0.0146863   
             0            0.441795     0.0146863    /
2.31795      7.77265e-06  0.435917     0.0146866   
             0            0.435917     0.0146866    /
2.34829      7.67363e-06  0.430191     0.0146869   
             0            0.430191     0.0146869    /
2.37863      7.57715e-06  0.424612     0.0146871   
             0            0.424612     0.0146871    /
2.40897      7.48311e-06  0.419173     0.0146874   
             0            0.419173     0.0146874    /
2.43932      7.39143e-06  0.413871     0.0146877   
             0            0.413871     0.0146877    /
2.46966      7.30202e-06  0.408699     0.014688    
             0            0.408699     0.014688     /
2.5          7.21478e-06  0.403654     0.0146883   
             0            0.403654     0.0146883    /
/
