-- PRES    FVF      VISC
PVDG
1.01325      1            0.0146748   
1.04359      0.970769     0.014675    
1.07393      0.94319      0.0146753   
1.10428      0.917126     0.0146756   
1.13462      0.892456     0.0146758   
1.16496      0.869071     0.0146761   
1.1953       0.846874     0.0146764   
1.22564      0.825775     0.0146766   
1.25598      0.805696     0.0146769   
1.28633      0.786564     0.0146772   
1.31667      0.768314     0.0146775   
1.34701      0.750885     0.0146777   
1.37735      0.734225     0.014678    
1.40769      0.718283     0.0146783   
1.43804      0.703014     0.0146785   
1.46838      0.688375     0.0146788   
1.49872      0.67433      0.0146791   
1.52906      0.660841     0.0146793   
1.5594       0.647878     0.0146796   
1.58974      0.635409     0.0146799   
1.62009      0.623408     0.0146802   
1.65043      0.611847     0.0146804   
1.68077      0.600704     0.0146807   
1.71111      0.589957     0.014681    
1.74145      0.579583     0.0146813   
1.7718       0.569565     0.0146815   
1.80214      0.559884     0.0146818   
1.83248      0.550524     0.0146821   
1.86282      0.541469     0.0146824   
1.89316      0.532704     0.0146826   
1.92351      0.524215     0.0146829   
1.95385      0.515991     0.0146832   
1.98419      0.508017     0.0146835   
2.01453      0.500284     0.0146838   
2.04487      0.49278      0.014684    
2.07521      0.485496     0.0146843   
2.10556      0.478421     0.0146846   
2.1359       0.471548     0.0146849   
2.16624      0.464867     0.0146852   
2.19658      0.458371     0.0146854   
2.22692      0.452051     0.0146857   
2.25727      0.445902     0.014686    
2.28761      0.439916     0.0146863   
2.31795      0.434086     0.0146866   
2.34829      0.428407     0.0146869   
2.37863      0.422873     0.0146871   
2.40897      0.417478     0.0146874   
2.43932      0.412217     0.0146877   
2.46966      0.407086     0.014688    
2.5          0.402079     0.0146883   
/
