-- PRES    FVF      VISC
PVDO
1.01325      1            1.0016      
1.04359      0.999999     1.0016      
1.07393      0.999997     1.00159     
1.10428      0.999996     1.00159     
1.13462      0.999994     1.00159     
1.16496      0.999993     1.00159     
1.1953       0.999992     1.00159     
1.22564      0.99999      1.00159     
1.25598      0.999989     1.00159     
1.28633      0.999987     1.00159     
1.31667      0.999986     1.00159     
1.34701      0.999985     1.00159     
1.37735      0.999983     1.00158     
1.40769      0.999982     1.00158     
1.43804      0.999981     1.00158     
1.46838      0.999979     1.00158     
1.49872      0.999978     1.00158     
1.52906      0.999976     1.00158     
1.5594       0.999975     1.00158     
1.58974      0.999974     1.00158     
1.62009      0.999972     1.00158     
1.65043      0.999971     1.00158     
1.68077      0.999969     1.00158     
1.71111      0.999968     1.00157     
1.74145      0.999967     1.00157     
1.7718       0.999965     1.00157     
1.80214      0.999964     1.00157     
1.83248      0.999962     1.00157     
1.86282      0.999961     1.00157     
1.89316      0.99996      1.00157     
1.92351      0.999958     1.00157     
1.95385      0.999957     1.00157     
1.98419      0.999955     1.00157     
2.01453      0.999954     1.00157     
2.04487      0.999953     1.00156     
2.07521      0.999951     1.00156     
2.10556      0.99995      1.00156     
2.1359       0.999948     1.00156     
2.16624      0.999947     1.00156     
2.19658      0.999946     1.00156     
2.22692      0.999944     1.00156     
2.25727      0.999943     1.00156     
2.28761      0.999942     1.00156     
2.31795      0.99994      1.00156     
2.34829      0.999939     1.00156     
2.37863      0.999937     1.00155     
2.40897      0.999936     1.00155     
2.43932      0.999935     1.00155     
2.46966      0.999933     1.00155     
2.5          0.999932     1.00155     
/
