# This autogenerated file contains thermodynamical properties of CO2.
# The data has been obtained by querying the NIST Chemistry WebBook https://doi.org/10.18434/T4D303.
#
# Concerning temperature and pressure ranges, the following parameters have been used:
# min temperature = 293.15, max temperature = 322.465, #temperature sampling points = 2
# min pressure = 101325.0, max pressure = 250000.0, #pressure sampling points = 50
#
# temperature [K],     pressure [Pa],   density [kg/m3],  viscosity [Pa.s],   enthalpy [J/kg]
2.93150000000e+02, 1.01325000000e+05, 1.83934493785e+00, 1.46747828596e-05, 5.01599194941e+05
2.93150000000e+02, 1.04359183673e+05, 1.89472982474e+00, 1.46750479481e-05, 5.01569883287e+05
2.93150000000e+02, 1.07393367347e+05, 1.95013265430e+00, 1.46753134619e-05, 5.01540563460e+05
2.93150000000e+02, 1.10427551020e+05, 2.00555344140e+00, 1.46755794015e-05, 5.01511235453e+05
2.93150000000e+02, 1.13461734694e+05, 2.06099220092e+00, 1.46758457673e-05, 5.01481899262e+05
2.93150000000e+02, 1.16495918367e+05, 2.11644894778e+00, 1.46761125598e-05, 5.01452554878e+05
2.93150000000e+02, 1.19530102041e+05, 2.17192369690e+00, 1.46763797793e-05, 5.01423202295e+05
2.93150000000e+02, 1.22564285714e+05, 2.22741646324e+00, 1.46766474264e-05, 5.01393841507e+05
2.93150000000e+02, 1.25598469388e+05, 2.28292726175e+00, 1.46769155014e-05, 5.01364472507e+05
2.93150000000e+02, 1.28632653061e+05, 2.33845610744e+00, 1.46771840048e-05, 5.01335095289e+05
2.93150000000e+02, 1.31666836735e+05, 2.39400301530e+00, 1.46774529369e-05, 5.01305709846e+05
2.93150000000e+02, 1.34701020408e+05, 2.44956800037e+00, 1.46777222983e-05, 5.01276316170e+05
2.93150000000e+02, 1.37735204082e+05, 2.50515107769e+00, 1.46779920894e-05, 5.01246914257e+05
2.93150000000e+02, 1.40769387755e+05, 2.56075226235e+00, 1.46782623106e-05, 5.01217504098e+05
2.93150000000e+02, 1.43803571429e+05, 2.61637156941e+00, 1.46785329624e-05, 5.01188085688e+05
2.93150000000e+02, 1.46837755102e+05, 2.67200901401e+00, 1.46788040452e-05, 5.01158659020e+05
2.93150000000e+02, 1.49871938776e+05, 2.72766461126e+00, 1.46790755593e-05, 5.01129224086e+05
2.93150000000e+02, 1.52906122449e+05, 2.78333837632e+00, 1.46793475054e-05, 5.01099780881e+05
2.93150000000e+02, 1.55940306122e+05, 2.83903032435e+00, 1.46796198837e-05, 5.01070329398e+05
2.93150000000e+02, 1.58974489796e+05, 2.89474047056e+00, 1.46798926948e-05, 5.01040869629e+05
2.93150000000e+02, 1.62008673469e+05, 2.95046883014e+00, 1.46801659391e-05, 5.01011401569e+05
