# This autogenerated file contains thermodynamical properties of H2O.
# The data has been obtained by querying the NIST Chemistry WebBook https://doi.org/10.18434/T4D303.
#
# Concerning temperature and pressure ranges, the following parameters have been used:
# min temperature = 293.15, max temperature = 322.465, #temperature sampling points = 2
# min pressure = 101325.0, max pressure = 250000.0, #pressure sampling points = 50
#
# temperature [K],     pressure [Pa],   density [kg/m3],  viscosity [Pa.s],   enthalpy [J/kg]
2.93150000000e+02, 1.01325000000e+05, 9.98207150467e+02, 1.00159614312e-03, 8.40073008508e+04
2.93150000000e+02, 1.04359183673e+05, 9.98208540393e+02, 1.00159520843e-03, 8.40101562016e+04
2.93150000000e+02, 1.07393367347e+05, 9.98209930309e+02, 1.00159427379e-03, 8.40130115445e+04
2.93150000000e+02, 1.10427551020e+05, 9.98211320216e+02, 1.00159333919e-03, 8.40158668792e+04
2.93150000000e+02, 1.13461734694e+05, 9.98212710114e+02, 1.00159240463e-03, 8.40187222062e+04
2.93150000000e+02, 1.16495918367e+05, 9.98214100004e+02, 1.00159147011e-03, 8.40215775252e+04
2.93150000000e+02, 1.19530102041e+05, 9.98215489884e+02, 1.00159053564e-03, 8.40244328361e+04
2.93150000000e+02, 1.22564285714e+05, 9.98216879756e+02, 1.00158960121e-03, 8.40272881391e+04
2.93150000000e+02, 1.25598469388e+05, 9.98218269618e+02, 1.00158866683e-03, 8.40301434342e+04
2.93150000000e+02, 1.28632653061e+05, 9.98219659472e+02, 1.00158773249e-03, 8.40329987213e+04
2.93150000000e+02, 1.31666836735e+05, 9.98221049316e+02, 1.00158679819e-03, 8.40358540004e+04
2.93150000000e+02, 1.34701020408e+05, 9.98222439152e+02, 1.00158586394e-03, 8.40387092714e+04
2.93150000000e+02, 1.37735204082e+05, 9.98223828979e+02, 1.00158492973e-03, 8.40415645347e+04
2.93150000000e+02, 1.40769387755e+05, 9.98225218797e+02, 1.00158399556e-03, 8.40444197899e+04
2.93150000000e+02, 1.43803571429e+05, 9.98226608606e+02, 1.00158306143e-03, 8.40472750371e+04
