# This autogenerated file contains solubilities of CO2 and H2O in a respective fluid system.
# The values have been calculated by means of (11)-(14) in https://doi.org/10.1016/S0016-7037(03)00273-4.
#
# Concerning temperature and pressure ranges, the following parameters have been used:
# min temperature = 293.15, max temperature = 322.465, #temperature sampling points = 2
# min gas pressure = 101325.0, max gas pressure = 250000.0, #pressure sampling points = 50
#
# temperature [K], gas pressure [Pa],         y_H2O [-],         x_CO2 [-]
2.93150000000e+02, 1.01325000000e+05, 2.32178577637e-02, 6.62160843152e-04
2.93150000000e+02, 1.04359183673e+05, 2.25486342430e-02, 6.82326719797e-04
2.93150000000e+02, 1.07393367347e+05, 2.19172285366e-02, 7.02484888214e-04
2.93150000000e+02, 1.10427551020e+05, 2.13205233216e-02, 7.22635349737e-04
2.93150000000e+02, 1.13461734694e+05, 2.07557347275e-02, 7.42778105694e-04
2.93150000000e+02, 1.16495918367e+05, 2.02203689120e-02, 7.62913157424e-04
2.93150000000e+02, 1.19530102041e+05, 1.97121852502e-02, 7.83040506253e-04
2.93150000000e+02, 1.22564285714e+05, 1.92291649916e-02, 8.03160153518e-04
2.93150000000e+02, 1.25598469388e+05, 1.87694844602e-02, 8.23272100543e-04
2.93150000000e+02, 1.28632653061e+05, 1.83314920469e-02, 8.43376348665e-04
2.93150000000e+02, 1.31666836735e+05, 1.79136883844e-02, 8.63472899207e-04
2.93150000000e+02, 1.34701020408e+05, 1.75147092000e-02, 8.83561753503e-04
2.93150000000e+02, 1.37735204082e+05, 1.71333104360e-02, 9.03642912878e-04
2.93150000000e+02, 1.40769387755e+05, 1.67683552938e-02, 9.23716378667e-04
2.93150000000e+02, 1.43803571429e+05, 1.64188029183e-02, 9.43782152188e-04
2.93150000000e+02, 1.46837755102e+05, 1.60836984853e-02, 9.63840234778e-04
2.93150000000e+02, 1.49871938776e+05, 1.57621644930e-02, 9.83890627756e-04
2.93150000000e+02, 1.52906122449e+05, 1.54533930900e-02, 1.00393333245e-03
2.93150000000e+02, 1.55940306122e+05, 1.51566392998e-02, 1.02396835019e-03
2.93150000000e+02, 1.58974489796e+05, 1.48712150201e-02, 1.04399568229e-03
2.93150000000e+02, 1.62008673469e+05, 1.45964836972e-02, 1.06401533009e-03
2.93150000000e+02, 1.65042857143e+05, 1.43318555876e-02, 1.08402729490e-03
2.93150000000e+02, 1.68077040816e+05, 1.40767835327e-02, 1.10403157805e-03
2.93150000000e+02, 1.71111224490e+05, 1.38307591835e-02, 1.12402818086e-03
2.93150000000e+02, 1.74145408163e+05, 1.35933096191e-02, 1.14401710466e-03
2.93150000000e+02, 1.77179591837e+05, 1.33639943139e-02, 1.16399835076e-03
2.93150000000e+02, 1.80213775510e+05, 1.31424024097e-02, 1.18397192050e-03
2.93150000000e+02, 1.83247959184e+05, 1.29281502601e-02, 1.20393781517e-03
2.93150000000e+02, 1.86282142857e+05, 1.27208792143e-02, 1.22389603613e-03
2.93150000000e+02, 1.89316326531e+05, 1.25202536138e-02, 1.24384658466e-03
2.93150000000e+02, 1.92350510204e+05, 1.23259589792e-02, 1.26378946211e-03
2.93150000000e+02, 1.95384693878e+05, 1.21377003656e-02, 1.28372466978e-03
2.93150000000e+02, 1.98418877551e+05, 1.19552008693e-02, 1.30365220900e-03
