P_bar	B_g_m3Sm3	mu_g_cP
1	1.24299819548683	0.0175574477632395
2	0.619743326138397	0.0175726412627468
3	0.411988807855232	0.0175882531631401
4	0.30810935956838	0.017604290251813
5	0.245779924921891	0.0176207594635371
6	0.204225485011873	0.0176376678844803
7	0.174542460206444	0.0176550227563546
8	0.1522790606008	0.0176728314806969
9	0.134962069502318	0.0176911016232892
10	0.121107556824669	0.017709840918722
20	0.0587361016838405	0.0179248695045848
30	0.0379120273826851	0.018196778136775
40	0.0274726648605158	0.0185369997582079
50	0.0211854358063637	0.0189602040757384
60	0.0169729079904115	0.019485454682381
70	0.0139450727868672	0.0201378001744067
80	0.0116576343673354	0.020950363186728
90	0.0098651521815643	0.0219667388492985
100	0.00842292233706079	0.0232426320864851
110	0.00724325166494622	0.0248432527339406
120	0.00627423821783161	0.0268284339606069
130	0.00548705453503978	0.0292161754655303
135	0.00515592572644615	0.0305434012365034
140	0.00486348641844294	0.0319375507794082
145	0.00460697136173326	0.0333767691526327
150	0.00438307348826626	0.0348385060259709
155	0.00418811555293432	0.0363024374393488
160	0.00401832584724126	0.0377522794494545
165	0.00387009719574983	0.0391763187892281
170	0.00374016145186143	0.0405670160719886
175	0.00362567020984658	0.0419201723427802
180	0.00352420452147087	0.0432340270692825
185	0.00343374293042574	0.0445084771251318
190	0.00335261102315154	0.0457444756893256
195	0.00327942698236241	0.0469436021354235
200	0.00321305065920356	0.0481077693346623
205	0.0031525392483459	0.0492390321207519
210	0.00309711022581098	0.0503394664246996
215	0.0030461110602511	0.0514110961119731
220	0.00299899477168177	0.0524558512254349
225	0.00295530033289977	0.0534755464758968
230	0.00291463698875338	0.0544718725124019
235	0.00287667170403207	0.0554463950523779
240	0.00284111909309584	0.0564005586703512
245	0.0028077333129518	0.0573356931861672
250	0.0027763015097748	0.0582530213456105
255	0.00274663849669296	0.0591536669778312
260	0.00271858241037823	0.0600386631333103
265	0.00269199114866295	0.0609089599121723
270	0.00266673943401342	0.0617654318245048
275	0.00264271638080175	0.0626088846077177
280	0.00261982347003612	0.0634400614777281
300	0.00253792802306242	0.0666549900935031
320	0.00246849794558287	0.0697201442726962
340	0.00240859200680282	0.0726628903088348
360	0.00235616113621357	0.0755040577826217
380	0.00230972869736725	0.0782597986307192
400	0.00226820001075341	0.0809428462532387
450	0.00218082446587117	0.087394628078463
500	0.00211059890713879	0.093565013600637
550	0.00205243491249932	0.099525642997927
650	0.00196066057451188	0.110991096533093
