P_bar	B_g_m3Sm3	mu_g_cP
1	1.10072755981067	0.0156649934391056
2	0.548058546064166	0.015682270086995
4	0.271705973710472	0.0157185602037164
6	0.179571874744979	0.0157572627551338
8	0.133491902344587	0.0157985013323057
10	0.105833160552916	0.0158424089925441
15	0.0689214412461552	0.0159648260847435
20	0.0504265307013345	0.0161074410554574
30	0.0318400120492216	0.0164668246459228
40	0.0224317387348076	0.0169576834651577
50	0.016659712276621	0.017644303075578
60	0.0126515926777284	0.0186544069819413
70	0.00954367471481827	0.0203115579872669
80	0.00661639540728181	0.0241410412896474
90	0.00336244754589096	0.0437926699064867
100	0.00300188100888571	0.0506816128810838
101	0.00297935767158827	0.0512072502980034
102	0.00295810824618085	0.0517158551513575
103	0.00293799763671524	0.0522089882680469
104	0.00291891124797743	0.0526879931014425
105	0.00290075102350828	0.0531540353527787
106	0.00288343239874486	0.0536081338318792
107	0.00286688192645767	0.0540511848030531
108	0.00285103540372579	0.054483981414085
109	0.00283583637829035	0.0549072293643127
110	0.00282123494552403	0.0553215596607973
111	0.00280718677059964	0.0557275390947558
112	0.00279365228701888	0.0561256789149021
113	0.0027805960346014	0.0565164420612747
114	0.00276798610874851	0.0569002492398246
115	0.00275579369923293	0.0572774840559624
116	0.00274399270157378	0.0576484973784925
117	0.0027325593876865	0.0580136110697535
118	0.00272147212526324	0.0583731211904343
119	0.00271071113746739	0.0587273007663274
120	0.0027002582961762	0.0590764021877088
121	0.00269009694329555	0.0594206592989811
122	0.00268021173568764	0.0597602892258608
123	0.00267058851005786	0.0600954939791204
124	0.00266121416479138	0.0604264618672417
125	0.00265207655624659	0.0607533687449663
126	0.00264316440743072	0.061076379120345
127	0.00263446722732253	0.0613956471393171
128	0.00262597523938436	0.0617113174639042
129	0.00261767931803403	0.0620235260576731
130	0.00260957093203449	0.0623324008901069
131	0.00260164209391576	0.0626380625698387
132	0.0025938853146725	0.0629406249152965
133	0.00258629356308992	0.0632401954701224
134	0.00257886022914107	0.0635368759697305
135	0.0025715790909754	0.0638307627645215
136	0.00256444428508367	0.0641219472045542
137	0.00255745027927866	0.0644105159898577
138	0.00255059184817848	0.0646965514900453
139	0.00254386405091905	0.064980132036441
140	0.00253726221085656	0.0652613321895386
145	0.00250599497659306	0.0666340020094872
150	0.00247729872792641	0.067956556365467
155	0.00245079890177591	0.0692352433275067
160	0.00242619688205018	0.0704751629679655
165	0.00240325076984677	0.0716805385237188
170	0.00238176188137778	0.0728549108706726
175	0.0023615650399944	0.0740012811708974
180	0.00234252145019546	0.075122217576321
185	0.00232451337072238	0.0762199364347933
190	0.00230744006762795	0.0772963650440973
195	0.00229121469502775	0.0783531908136842
200	0.00227576185945644	0.0793919002537457
250	0.0021523864444485	0.0890144311498469
350	0.00199761154523203	0.105787618367023
