P_bar	Rv_Sm3Sm3	B_g_m3Sm3	mu_g_cP
1	6.13261991414127e-05	1.18890517046955	0.0171270189157609
2	2.97151176574071e-05	0.569331943104451	0.016395687066879
4	1.48034079608583e-05	0.27696001319251	0.0160775925477665
6	9.96039255251837e-06	0.181908274806023	0.0160005733556727
8	7.56451294872229e-06	0.134810973823193	0.0159843709782053
10	6.13670462579831e-06	0.106681538602519	0.0159939799664969
15	4.2493031801763e-06     0.0693040056042542	0.0160710213689186
20	3.31864723466099e-06	0.0506451319395918	0.0161913316203986
30	2.412939937213e-06      0.03194037008954	0.0165293593313307
40	1.98975646987127e-06	0.0224900423253307	0.0170108517324762
50	1.76845001312124e-06	0.0166981973857573	0.0176934746548441
60	1.66242482174764e-06	0.0126790665359801	0.0187032261967978
70	1.6514299265175e-06     0.00956426243307054	0.0203642234871395
80	1.80923433967715e-06	0.00663203223714891	0.0242091333742404
90	2.91612239630006e-06	0.00337525591114271	0.0439849538360229
100	3.25015792945271e-06	0.00301462573113105	0.0509269558269562
105	3.35967225668347e-06	0.0029134813576938	0.0534190238622406
110	3.45107427695745e-06	0.00283395315572592	0.0556039478163019
115	3.52986274522004e-06	0.00276850052159899	0.0575756800058236
120	3.59925809603691e-06	0.00271295382326702	0.0593892021063763
125	3.66133076499563e-06	0.00266476059203196	0.0610798210063919
130	3.71750144257782e-06	0.00262224315160002	0.062671728578523
135	3.76879313283534e-06	0.00258423911771923	0.0641823158410816
140	3.81597038228516e-06	0.00254990965540077	0.0656245561678447
145	3.85962172770896e-06	0.00251862945670045	0.0670084164756681
150	3.90021126342588e-06	0.00248991987853135	0.0683417396947563
155	3.93811235078922e-06	0.00246340637969885	0.0696308214751875
160	3.973630472523e-06      0.00243879036779826	0.0708808010376614
165	4.00701920964833e-06	0.0024158299678102	0.0720959342871253
170	4.03849170620417e-06	0.00239432651915542	0.0732797896942885
175	4.06822908367914e-06	0.00237411486726719	0.0744353919800708
180	4.09638673932011e-06	0.00235505623738913	0.0755653295990573
185	4.12309914275277e-06	0.00233703290759896	0.0766718365418271
190	4.14848354542594e-06	0.00231994416188575	0.077756855551872
195	4.17264288885976e-06	0.00230370317095404	0.0788220876516054
200	4.19566811298368e-06	0.00228823455665577	0.0798690314215962
205	4.21764000880023e-06	0.00227347246776417	0.0808990145003521
210	4.23863072041504e-06	0.00225935904343551	0.0819132191009534
215	4.25870497405906e-06	0.00224584317424977	0.0829127028715997
220	4.27792109224087e-06	0.00223287949425101	0.0838984160936278
225	4.29633183710655e-06	0.00222042755416586	0.0848712159699968
230	4.31398511680247e-06	0.00220845113808218	0.0858318785813594
235	4.33092458102163e-06	0.0021969176947247	0.0867811089566172
240	4.34719012621061e-06	0.00218579786102011	0.0877195496073538
245	4.36281832659591e-06	0.00217506506055108	0.0886477878017451
250	4.37784280388632e-06	0.00216469516320984	0.0895663617971009
260	4.40620218286025e-06	0.00214495809067463	0.0913764566427398
270	4.43248928221163e-06	0.00212643249581266	0.093153346728049
280	4.4568943845475e-06     0.00210898858273084	0.0949000379731408
290	4.47958262247217e-06	0.0020925160565112	0.096619123262161
300	4.50069832970617e-06	0.00207692042102539	0.0983128551973988
350	4.50069832970617e-06	0.00200935574367375	0.106450381695943
450	4.50069832970617e-06	0.00190990895183326	0.12158478475085
